Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0KKkJNfGyhkQ5aFogxQAPU,"That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,90,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Atlantic Records",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
1mXVgsBdtIVeCLJnSnmtdV,"Too Good At Goodbyes","The Thrill Of It All (Special Edition)","Sam Smith",2017-11-03,201000,83,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"soft pop","PLG - Capitol",0.715,0.372,5,-8.237,1,0.0443,0.638,0,0.169,0.474,91.931,4
6FZDfxM3a3UCqtzo5pxSLZ,"Without Me","Manic","Halsey",2020-01-17,201660,84,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Capitol Records",0.752,0.488,6,-7.05,1,0.0705,0.293,0.0000092,0.0936,0.533,136.07,4
7JJmb5XwzOO8jgpou264Ml,"There's Nothing Holdin' Me Back","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,199440,87,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"pop","Island Records",0.866,0.811,11,-4.063,0,0.0553,0.375,0,0.078,0.969,121.995,4
3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana,Swae Lee",2017-07-14,233901,87,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
27NovPIUIRrOZoCHxABJwK,"INDUSTRY BABY (feat. Jack Harlow)","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",2021-07-23,212000,76,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Columbia",0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,4
0QZ5yyl6B6utIWkxeBDxQN,"The Night We Met","Strange Trails","Lord Huron",2015-04-07,208211,80,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","IAMSOUND",0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3
1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,91,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
4cktbXiXOapiLBMprHFErI,"Memories","JORDI (Deluxe)","Maroon 5",2021-06-11,189486,84,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"pop","Interscope Records*",0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,4
60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,88,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
5ghIJDpPoe3CfHMGu71E6T,"Smells Like Teen Spirit","Nevermind (Remastered)","Nirvana",1991-09-26,301920,81,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"grunge,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
32OlwWuMpZ6b0aN2RZOeMS,"Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,87,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Columbia",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
3a1lNhkSLSkpJE4MSHpDu9,"Congratulations","Stoney (Deluxe)","Post Malone,Quavo",2016-12-09,220293,81,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Universal Records",0.63,0.804,6,-4.183,1,0.0364,0.215,0,0.253,0.492,123.146,4
1qPbGZqppFwLwcBC1JQ6Vr,"Wonderwall","(What's The Story) Morning Glory?","Oasis",1995-10-02,258906,74,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"britpop,madchester,rock","Big Brother Recordings Ltd",0.41,0.854,2,-5.609,1,0.0366,0.00236,0,0.133,0.456,174.584,4
6zSpb8dQRaw0M1dK8PBwQz,"Cold Heart - PNAU Remix","Cold Heart (PNAU Remix)","Elton John,Dua Lipa,PNAU",2021-08-13,202735,83,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"pop","EMI",0.796,0.798,1,-6.312,1,0.0317,0.034,0.0000419,0.0952,0.942,116.032,4
47EiUVwUp4C9fGccaPuUCS,"DÁKITI","DÁKITI","Bad Bunny,JHAYCO",2020-10-30,205090,80,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.731,0.573,4,-10.059,0,0.0544,0.401,0.0000522,0.113,0.145,109.928,4
5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,86,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
7DSAEUvxU8FajXtRloy8M0,"Flowers","Endless Summer Vacation","Miley Cyrus",2023-08-18,200600,89,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Columbia",0.706,0.691,0,-4.775,1,0.0633,0.0584,0.0000699,0.0232,0.632,118.048,4
7dt6x5M1jzdTEt8oCbisTK,"Better Now","beerbongs & bentleys","Post Malone",2018-04-27,231266,80,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Republic Records",0.674,0.578,10,-5.804,1,0.0408,0.331,0,0.135,0.34,145.07,4
3w3y8KPTfNeOKPiqUTakBh,"Locked out of Heaven","Unorthodox Jukebox","Bruno Mars",2012-12-07,233478,91,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Atlantic Records",0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
7hQJA50XrCWABAu5v6QZ4i,"Don't Stop Me Now - Remastered 2011","Jazz (Deluxe Remastered Version)","Queen",1978-11-10,209413,76,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"classic rock,rock,glam rock","Hollywood Records",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
4xkOaSrkexMciUUogZKVTS,"Till I Collapse","The Eminem Show","Eminem,Nate Dogg",2002-05-26,297786,85,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"rap,hip hop,g-funk,west coast hip hop","Aftermath",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4
1MtUq6Wp1eQ8PC6BbPCj8P,"I Took A Pill In Ibiza - Seeb Remix","At Night, Alone.","Mike Posner,Seeb",2016-05-06,197933,66,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Monster Mountain, LLC / Island",0.664,0.714,7,-6.645,0,0.111,0.0353,0.00000842,0.0843,0.71,101.969,4
7gHs73wELdeycvS48JfIos,"Faded","Faded","Alan Walker",2015-12-04,212626,72,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Kreatell Music",0.589,0.651,6,-5.097,1,0.0306,0.0291,0.0000032,0.111,0.166,90.011,4
6R8QsHsGwOiRyI707yxTFE,"Roses - Imanbek Remix","Roses (Imanbek Remix)","SAINt JHN,Imanbek",2019-09-13,176218,48,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"slap house","Craft Recordings",0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4
1zwMYTA5nlNjZxYrvBB2pV,"Someone Like You","21","Adele",2011-01-24,285240,80,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"soft pop","XL Recordings",0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4
67BtfxlNbhBmCDR2L2l8qd,"MONTERO (Call Me By Your Name)","MONTERO (Call Me By Your Name)","Lil Nas X",2021-03-31,137875,71,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Columbia",0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,4
